Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2422.81,1428.78,0,0,3,76,5,28,60,189.592,168.618,149.934,13.1289,10.2906,6.40306, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1356.65,1208.01,1,0,2,181,8,44,29,136.017,128.597,108.204,9.66534,4.74133,3.21925, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1350.28,1192.7,1,0,2,376,11,44,33,141.383,131.894,109.162,15.906,8.00375,3.90227, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1219.5,1016,1,0,2,582,14,42,62,166.344,148.448,109.497,10.9372,6.96323,3.95949, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1149,926,1,0,2,134,7,48,31,140.657,134.791,109.507,8.16761,4.44915,3.04701, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1151.56,905.235,1,0,2,383,12,48,34,145.261,138.057,110.956,14.4306,7.90683,3.96465, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2513,636,0,0,6,29,4,38,101,242.172,236.034,225.483,4.36379,8.12684,11.1289, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,731.5,591.5,1,0,2,86,6,34,28,145.186,132.919,118.14,7.18421,4.38676,3.0183, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,749.75,584.75,1,0,2,511,14,32,55,168.17,146.01,120.474,17.4826,9.99651,4.39834, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2294,1884,0,0,1,27,4,30,105,212.667,183,154.074,4.03071,4.20878,4.38762, "2021-07-31 [6:22:54 PM]: no comment"
